WiFi_Network,breakfast,parking,gym,flex_check,shuttle_bus,air_pure,jacuzzi,VIP_shop,pool_temp,avg_rating
Basic,None,Valet,None,Yes,Yes,No,No,Yes,84,8.07
Basic,None,Valet,None,Yes,Yes,No,Yes,No,76,4.48
Basic,None,Valet,None,Yes,Yes,No,Yes,No,80,7.22
Basic,None,Valet,None,Yes,Yes,No,Yes,No,84,5.01
Basic,None,Valet,None,Yes,Yes,No,Yes,Yes,76,4.11
Basic,None,Valet,None,Yes,Yes,No,Yes,Yes,80,6.63
Basic,None,Valet,None,Yes,Yes,No,Yes,Yes,84,9.84
Basic,None,Valet,None,Yes,Yes,Yes,No,No,76,5.96
Basic,None,Valet,None,Yes,Yes,Yes,No,No,80,8.25
Basic,None,Valet,None,Yes,Yes,Yes,No,No,84,5.84
Basic,None,Valet,None,Yes,Yes,Yes,No,Yes,76,7.78
Basic,None,Valet,None,Yes,Yes,Yes,No,Yes,80,4.75
Basic,None,Valet,None,Yes,Yes,Yes,No,Yes,84,9.0
Basic,None,Valet,None,Yes,Yes,Yes,Yes,No,76,3.75
Basic,None,Valet,None,Yes,Yes,Yes,Yes,No,80,8.34
Basic,None,Valet,None,Yes,Yes,Yes,Yes,No,84,7.84
Basic,None,Valet,None,Yes,Yes,Yes,Yes,Yes,76,6.66
Basic,None,Valet,None,Yes,Yes,Yes,Yes,Yes,80,7.43
Basic,None,Valet,None,Yes,Yes,Yes,Yes,Yes,84,6.98
Basic,None,Valet,Basic,No,No,No,No,No,76,2.78
Basic,None,Valet,Basic,No,No,No,No,No,80,2.85
Basic,None,Valet,Basic,No,No,No,No,No,84,3.27
Basic,None,Valet,Basic,No,No,No,No,Yes,76,7.81
Basic,None,Valet,Basic,No,No,No,No,Yes,80,5.31
Basic,None,Valet,Basic,No,No,No,No,Yes,84,5.32
Basic,None,Valet,Basic,No,No,No,Yes,No,76,5.48
Basic,None,Valet,Basic,No,No,No,Yes,No,80,5.29
Basic,None,Valet,Basic,No,No,No,Yes,No,84,4.57
Basic,None,Valet,Basic,No,No,No,Yes,Yes,76,2.78
Basic,None,Valet,Basic,No,No,No,Yes,Yes,80,4.79
Basic,None,Valet,Basic,No,No,No,Yes,Yes,84,6.61
Basic,None,Valet,Basic,No,No,Yes,No,No,76,5.37
Basic,None,Valet,Basic,No,No,Yes,No,No,80,5.91
Basic,None,Valet,Basic,No,No,Yes,No,No,84,7.86
Basic,None,Valet,Basic,No,No,Yes,No,Yes,76,3.2
Basic,None,Valet,Basic,No,No,Yes,No,Yes,80,6.97
Basic,None,Valet,Basic,No,No,Yes,No,Yes,84,3.05
Basic,None,Valet,Basic,No,No,Yes,Yes,No,76,5.87
Basic,None,Valet,Basic,No,No,Yes,Yes,No,80,2.39
Basic,None,Valet,Basic,No,No,Yes,Yes,No,84,4.44
Basic,None,Valet,Basic,No,No,Yes,Yes,Yes,76,7.13
Basic,None,Valet,Basic,No,No,Yes,Yes,Yes,80,2.78
Basic,None,Valet,Basic,No,No,Yes,Yes,Yes,84,5.47
Basic,None,Valet,Basic,No,Yes,No,No,No,76,5.79
Basic,None,Valet,Basic,No,Yes,No,No,No,80,5.45
Basic,None,Valet,Basic,No,Yes,No,No,No,84,3.97
Basic,None,Valet,Basic,No,Yes,No,No,Yes,76,5.28
Basic,None,Valet,Basic,No,Yes,No,No,Yes,80,6.37
Basic,None,Valet,Basic,No,Yes,No,No,Yes,84,2.78
Basic,None,Valet,Basic,No,Yes,No,Yes,No,76,7.92
Basic,None,Valet,Basic,No,Yes,No,Yes,No,80,4.77
Basic,None,Valet,Basic,No,Yes,No,Yes,No,84,5.86
Basic,None,Valet,Basic,No,Yes,No,Yes,Yes,76,4.98
Basic,None,Valet,Basic,No,Yes,No,Yes,Yes,80,4.59
Basic,None,Valet,Basic,No,Yes,No,Yes,Yes,84,5.83
Basic,None,Valet,Basic,No,Yes,Yes,No,No,76,6.33
Basic,None,Valet,Basic,No,Yes,Yes,No,No,80,9.39
Basic,None,Valet,Basic,No,Yes,Yes,No,No,84,4.66
Basic,None,Valet,Basic,No,Yes,Yes,No,Yes,76,8.52
Basic,None,Valet,Basic,No,Yes,Yes,No,Yes,80,8.13
Basic,None,Valet,Basic,No,Yes,Yes,No,Yes,84,7.74
Basic,None,Valet,Basic,No,Yes,Yes,Yes,No,76,6.85
Basic,None,Valet,Basic,No,Yes,Yes,Yes,No,80,5.53
Basic,None,Valet,Basic,No,Yes,Yes,Yes,No,84,8.2
Basic,None,Valet,Basic,No,Yes,Yes,Yes,Yes,76,9.23
Basic,None,Valet,Basic,No,Yes,Yes,Yes,Yes,80,7.02
Basic,None,Valet,Basic,No,Yes,Yes,Yes,Yes,84,3.68
Basic,None,Valet,Basic,Yes,No,No,No,No,76,6.96
Basic,None,Valet,Basic,Yes,No,No,No,No,80,8.32
Basic,None,Valet,Basic,Yes,No,No,No,No,84,5.68
Basic,None,Valet,Basic,Yes,No,No,No,Yes,76,6.39
Basic,None,Valet,Basic,Yes,No,No,No,Yes,80,2.34
Basic,None,Valet,Basic,Yes,No,No,No,Yes,84,5.93
Basic,None,Valet,Basic,Yes,No,No,Yes,No,76,5.64
Basic,None,Valet,Basic,Yes,No,No,Yes,No,80,3.4
Basic,None,Valet,Basic,Yes,No,No,Yes,No,84,8.09
Basic,None,Valet,Basic,Yes,No,No,Yes,Yes,76,5.93
Basic,None,Valet,Basic,Yes,No,No,Yes,Yes,80,5.35
Basic,None,Valet,Basic,Yes,No,No,Yes,Yes,84,4.07
Basic,None,Valet,Basic,Yes,No,Yes,No,No,76,2.76
Basic,None,Valet,Basic,Yes,No,Yes,No,No,80,3.56
Basic,None,Valet,Basic,Yes,No,Yes,No,No,84,4.44
Basic,None,Valet,Basic,Yes,No,Yes,No,Yes,76,6.16
Basic,None,Valet,Basic,Yes,No,Yes,No,Yes,80,4.72
Basic,None,Valet,Basic,Yes,No,Yes,No,Yes,84,6.88
Basic,None,Valet,Basic,Yes,No,Yes,Yes,No,76,4.58
Basic,None,Valet,Basic,Yes,No,Yes,Yes,No,80,8.85
Basic,None,Valet,Basic,Yes,No,Yes,Yes,No,84,6.7
Basic,None,Valet,Basic,Yes,No,Yes,Yes,Yes,76,7.31
Basic,None,Valet,Basic,Yes,No,Yes,Yes,Yes,80,6.81
Basic,None,Valet,Basic,Yes,No,Yes,Yes,Yes,84,6.57
Basic,None,Valet,Basic,Yes,Yes,No,No,No,76,8.49
Basic,None,Valet,Basic,Yes,Yes,No,No,No,80,7.06
Basic,None,Valet,Basic,Yes,Yes,No,No,No,84,6.78
Basic,None,Valet,Basic,Yes,Yes,No,No,Yes,76,7.45
Basic,None,Valet,Basic,Yes,Yes,No,No,Yes,80,7.11
Basic,None,Valet,Basic,Yes,Yes,No,No,Yes,84,4.45
Basic,None,Valet,Basic,Yes,Yes,No,Yes,No,76,5.2
Basic,None,Valet,Basic,Yes,Yes,No,Yes,No,80,3.76
Basic,None,Valet,Basic,Yes,Yes,No,Yes,No,84,2.78
Basic,None,Valet,Basic,Yes,Yes,No,Yes,Yes,76,5.67
Basic,None,Valet,Basic,Yes,Yes,No,Yes,Yes,80,7.5
Basic,None,Valet,Basic,Yes,Yes,No,Yes,Yes,84,7.86
Basic,None,Valet,Basic,Yes,Yes,Yes,No,No,76,5.59
Basic,None,Valet,Basic,Yes,Yes,Yes,No,No,80,9.01
Basic,None,Valet,Basic,Yes,Yes,Yes,No,No,84,7.15
Basic,None,Valet,Basic,Yes,Yes,Yes,No,Yes,76,9.0
Basic,None,Valet,Basic,Yes,Yes,Yes,No,Yes,80,6.5
Basic,None,Valet,Basic,Yes,Yes,Yes,No,Yes,84,8.45
Basic,None,Valet,Basic,Yes,Yes,Yes,Yes,No,76,7.04
Basic,None,Valet,Basic,Yes,Yes,Yes,Yes,No,80,8.21
Basic,None,Valet,Basic,Yes,Yes,Yes,Yes,No,84,7.42
Basic,None,Valet,Basic,Yes,Yes,Yes,Yes,Yes,76,5.81
Basic,None,Valet,Basic,Yes,Yes,Yes,Yes,Yes,80,5.95
Basic,None,Valet,Basic,Yes,Yes,Yes,Yes,Yes,84,8.61
Basic,None,Valet,Advanced,No,No,No,No,No,76,5.94
Basic,None,Valet,Advanced,No,No,No,No,No,80,3.39
Basic,None,Valet,Advanced,No,No,No,No,No,84,5.8
Basic,None,Valet,Advanced,No,No,No,No,Yes,76,4.64
Basic,None,Valet,Advanced,No,No,No,No,Yes,80,4.13
Basic,None,Valet,Advanced,No,No,No,No,Yes,84,7.33
Basic,None,Valet,Advanced,No,No,No,Yes,No,76,4.88
Basic,None,Valet,Advanced,No,No,No,Yes,No,80,2.13
Basic,None,Valet,Advanced,No,No,No,Yes,No,84,2.78
Basic,None,Valet,Advanced,No,No,No,Yes,Yes,76,4.87
Basic,None,Valet,Advanced,No,No,No,Yes,Yes,80,4.44
Basic,None,Valet,Advanced,No,No,No,Yes,Yes,84,2.78
Basic,None,Valet,Advanced,No,No,Yes,No,No,76,3.61
Basic,None,Valet,Advanced,No,No,Yes,No,No,80,3.06
Basic,None,Valet,Advanced,No,No,Yes,No,No,84,4.59
Basic,None,Valet,Advanced,No,No,Yes,No,Yes,76,3.78
Basic,None,Valet,Advanced,No,No,Yes,No,Yes,80,4.26
Basic,None,Valet,Advanced,No,No,Yes,No,Yes,84,4.15
Basic,None,Valet,Advanced,No,No,Yes,Yes,No,76,8.4
Basic,None,Valet,Advanced,No,No,Yes,Yes,No,80,8.1
Basic,None,Valet,Advanced,No,No,Yes,Yes,No,84,7.48
Basic,None,Valet,Advanced,No,No,Yes,Yes,Yes,76,3.18
Basic,None,Valet,Advanced,No,No,Yes,Yes,Yes,80,5.1
Basic,None,Valet,Advanced,No,No,Yes,Yes,Yes,84,9.24
Basic,None,Valet,Advanced,No,Yes,No,No,No,76,5.31
Basic,None,Valet,Advanced,No,Yes,No,No,No,80,7.0
Basic,None,Valet,Advanced,No,Yes,No,No,No,84,2.69
Basic,None,Valet,Advanced,No,Yes,No,No,Yes,76,5.32
Basic,None,Valet,Advanced,No,Yes,No,No,Yes,80,8.89
Basic,None,Valet,Advanced,No,Yes,No,No,Yes,84,8.22
Basic,None,Valet,Advanced,No,Yes,No,Yes,No,76,7.63
Basic,None,Valet,Advanced,No,Yes,No,Yes,No,80,5.95
Basic,None,Valet,Advanced,No,Yes,No,Yes,No,84,7.71
Basic,None,Valet,Advanced,No,Yes,No,Yes,Yes,76,2.73
Basic,None,Valet,Advanced,No,Yes,No,Yes,Yes,80,8.57
Basic,None,Valet,Advanced,No,Yes,No,Yes,Yes,84,6.14
Basic,None,Valet,Advanced,No,Yes,Yes,No,No,76,2.89
Basic,None,Valet,Advanced,No,Yes,Yes,No,No,80,4.7
Basic,None,Valet,Advanced,No,Yes,Yes,No,No,84,6.44
Basic,None,Valet,Advanced,No,Yes,Yes,No,Yes,76,8.05
Basic,None,Valet,Advanced,No,Yes,Yes,No,Yes,80,8.42
Basic,None,Valet,Advanced,No,Yes,Yes,No,Yes,84,3.69
Basic,None,Valet,Advanced,No,Yes,Yes,Yes,No,76,5.04
Basic,None,Valet,Advanced,No,Yes,Yes,Yes,No,80,6.97
Basic,None,Valet,Advanced,No,Yes,Yes,Yes,No,84,7.0
Basic,None,Valet,Advanced,No,Yes,Yes,Yes,Yes,76,8.67
Basic,None,Valet,Advanced,No,Yes,Yes,Yes,Yes,80,8.29
Basic,None,Valet,Advanced,No,Yes,Yes,Yes,Yes,84,5.31
Basic,None,Valet,Advanced,Yes,No,No,No,No,76,4.77
Basic,None,Valet,Advanced,Yes,No,No,No,No,80,3.68
Basic,None,Valet,Advanced,Yes,No,No,No,No,84,8.59
Basic,None,Valet,Advanced,Yes,No,No,No,Yes,76,4.71
Basic,None,Valet,Advanced,Yes,No,No,No,Yes,80,8.72
Basic,None,Valet,Advanced,Yes,No,No,No,Yes,84,6.83
Basic,None,Valet,Advanced,Yes,No,No,Yes,No,76,5.48
Basic,None,Valet,Advanced,Yes,No,No,Yes,No,80,7.43
Basic,None,Valet,Advanced,Yes,No,No,Yes,No,84,6.2
Basic,None,Valet,Advanced,Yes,No,No,Yes,Yes,76,9.41
Basic,None,Valet,Advanced,Yes,No,No,Yes,Yes,80,4.27
Basic,None,Valet,Advanced,Yes,No,No,Yes,Yes,84,5.21
Basic,None,Valet,Advanced,Yes,No,Yes,No,No,76,2.24
Basic,None,Valet,Advanced,Yes,No,Yes,No,No,80,4.66
Basic,None,Valet,Advanced,Yes,No,Yes,No,No,84,7.92
Basic,None,Valet,Advanced,Yes,No,Yes,No,Yes,76,2.78
Basic,None,Valet,Advanced,Yes,No,Yes,No,Yes,80,7.75
Basic,None,Valet,Advanced,Yes,No,Yes,No,Yes,84,5.38
Basic,None,Valet,Advanced,Yes,No,Yes,Yes,No,76,7.94
Basic,None,Valet,Advanced,Yes,No,Yes,Yes,No,80,9.62
Basic,None,Valet,Advanced,Yes,No,Yes,Yes,No,84,7.98
Basic,None,Valet,Advanced,Yes,No,Yes,Yes,Yes,76,2.87
Basic,None,Valet,Advanced,Yes,No,Yes,Yes,Yes,80,4.04
Basic,None,Valet,Advanced,Yes,No,Yes,Yes,Yes,84,5.88
Basic,None,Valet,Advanced,Yes,Yes,No,No,No,76,6.29
Basic,None,Valet,Advanced,Yes,Yes,No,No,No,80,4.86
Basic,None,Valet,Advanced,Yes,Yes,No,No,No,84,8.66
Basic,None,Valet,Advanced,Yes,Yes,No,No,Yes,76,9.68
Basic,None,Valet,Advanced,Yes,Yes,No,No,Yes,80,8.39
Basic,None,Valet,Advanced,Yes,Yes,No,No,Yes,84,7.04
Basic,None,Valet,Advanced,Yes,Yes,No,Yes,No,76,2.29
Basic,None,Valet,Advanced,Yes,Yes,No,Yes,No,80,4.87
Basic,None,Valet,Advanced,Yes,Yes,No,Yes,No,84,6.29
Basic,None,Valet,Advanced,Yes,Yes,No,Yes,Yes,76,6.99
Basic,None,Valet,Advanced,Yes,Yes,No,Yes,Yes,80,9.35
Basic,None,Valet,Advanced,Yes,Yes,No,Yes,Yes,84,8.64
Basic,None,Valet,Advanced,Yes,Yes,Yes,No,No,76,4.25
Basic,None,Valet,Advanced,Yes,Yes,Yes,No,No,80,7.75
Basic,None,Valet,Advanced,Yes,Yes,Yes,No,No,84,8.68
Basic,None,Valet,Advanced,Yes,Yes,Yes,No,Yes,76,4.35
Basic,None,Valet,Advanced,Yes,Yes,Yes,No,Yes,80,3.05
Basic,None,Valet,Advanced,Yes,Yes,Yes,No,Yes,84,6.41
Basic,None,Valet,Advanced,Yes,Yes,Yes,Yes,No,76,6.83
Basic,None,Valet,Advanced,Yes,Yes,Yes,Yes,No,80,4.98
Basic,None,Valet,Advanced,Yes,Yes,Yes,Yes,No,84,5.57
Basic,None,Valet,Advanced,Yes,Yes,Yes,Yes,Yes,76,4.35
Basic,None,Valet,Advanced,Yes,Yes,Yes,Yes,Yes,80,8.19
Basic,None,Valet,Advanced,Yes,Yes,Yes,Yes,Yes,84,8.42
Basic,None,Valet,Super,No,No,No,No,No,76,4.86
Basic,None,Valet,Super,No,No,No,No,No,80,5.38
Basic,None,Valet,Super,No,No,No,No,No,84,5.16
Basic,None,Valet,Super,No,No,No,No,Yes,76,6.79
Basic,None,Valet,Super,No,No,No,No,Yes,80,3.31
Basic,None,Valet,Super,No,No,No,No,Yes,84,4.96
Basic,None,Valet,Super,No,No,No,Yes,No,76,7.06
Basic,None,Valet,Super,No,No,No,Yes,No,80,3.23
Basic,None,Valet,Super,No,No,No,Yes,No,84,4.71
Basic,None,Valet,Super,No,No,No,Yes,Yes,76,5.54
Basic,None,Valet,Super,No,No,No,Yes,Yes,80,8.06
Basic,None,Valet,Super,No,No,No,Yes,Yes,84,4.49
Basic,None,Valet,Super,No,No,Yes,No,No,76,5.4
Basic,None,Valet,Super,No,No,Yes,No,No,80,4.8
Basic,None,Valet,Super,No,No,Yes,No,No,84,6.36
Basic,None,Valet,Super,No,No,Yes,No,Yes,76,3.68
Basic,None,Valet,Super,No,No,Yes,No,Yes,80,7.06
Basic,None,Valet,Super,No,No,Yes,No,Yes,84,8.97
Basic,None,Valet,Super,No,No,Yes,Yes,No,76,3.51
Basic,None,Valet,Super,No,No,Yes,Yes,No,80,4.73
Basic,None,Valet,Super,No,No,Yes,Yes,No,84,8.99
Basic,None,Valet,Super,No,No,Yes,Yes,Yes,76,7.31
Basic,None,Valet,Super,No,No,Yes,Yes,Yes,80,5.78
Basic,None,Valet,Super,No,No,Yes,Yes,Yes,84,4.4
Basic,None,Valet,Super,No,Yes,No,No,No,76,3.39
Basic,None,Valet,Super,No,Yes,No,No,No,80,7.49
Basic,None,Valet,Super,No,Yes,No,No,No,84,5.52
Basic,None,Valet,Super,No,Yes,No,No,Yes,76,6.2
Basic,None,Valet,Super,No,Yes,No,No,Yes,80,6.09
Basic,None,Valet,Super,No,Yes,No,No,Yes,84,6.64
Basic,None,Valet,Super,No,Yes,No,Yes,No,76,5.5
Basic,None,Valet,Super,No,Yes,No,Yes,No,80,6.16
Basic,None,Valet,Super,No,Yes,No,Yes,No,84,5.66
Basic,None,Valet,Super,No,Yes,No,Yes,Yes,76,8.74
Basic,None,Valet,Super,No,Yes,No,Yes,Yes,80,3.6
Basic,None,Valet,Super,No,Yes,No,Yes,Yes,84,7.81
Basic,None,Valet,Super,No,Yes,Yes,No,No,76,5.9
Basic,None,Valet,Super,No,Yes,Yes,No,No,80,4.8
Basic,None,Valet,Super,No,Yes,Yes,No,No,84,7.49
Basic,None,Valet,Super,No,Yes,Yes,No,Yes,76,6.22
Basic,None,Valet,Super,No,Yes,Yes,No,Yes,80,4.88
Basic,None,Valet,Super,No,Yes,Yes,No,Yes,84,5.36
Basic,None,Valet,Super,No,Yes,Yes,Yes,No,76,3.59
Basic,None,Valet,Super,No,Yes,Yes,Yes,No,80,2.78
Basic,None,Valet,Super,No,Yes,Yes,Yes,No,84,2.91
Basic,None,Valet,Super,No,Yes,Yes,Yes,Yes,76,6.8
Basic,None,Valet,Super,No,Yes,Yes,Yes,Yes,80,3.85
Basic,None,Valet,Super,No,Yes,Yes,Yes,Yes,84,7.65
Basic,None,Valet,Super,Yes,No,No,No,No,76,3.18
Basic,None,Valet,Super,Yes,No,No,No,No,80,5.38
Basic,None,Valet,Super,Yes,No,No,No,No,84,3.66
Basic,None,Valet,Super,Yes,No,No,No,Yes,76,8.41
Basic,None,Valet,Super,Yes,No,No,No,Yes,80,4.5
Basic,None,Valet,Super,Yes,No,No,No,Yes,84,7.99
Basic,None,Valet,Super,Yes,No,No,Yes,No,76,9.08
Basic,None,Valet,Super,Yes,No,No,Yes,No,80,8.49
Basic,None,Valet,Super,Yes,No,No,Yes,No,84,7.23
Basic,None,Valet,Super,Yes,No,No,Yes,Yes,76,3.35
Basic,None,Valet,Super,Yes,No,No,Yes,Yes,80,8.52
Basic,None,Valet,Super,Yes,No,No,Yes,Yes,84,4.8
Basic,None,Valet,Super,Yes,No,Yes,No,No,76,7.38
Basic,None,Valet,Super,Yes,No,Yes,No,No,80,7.57
Basic,None,Valet,Super,Yes,No,Yes,No,No,84,6.19
Basic,None,Valet,Super,Yes,No,Yes,No,Yes,76,2.77
Basic,None,Valet,Super,Yes,No,Yes,No,Yes,80,3.14
Basic,None,Valet,Super,Yes,No,Yes,No,Yes,84,6.09
Basic,None,Valet,Super,Yes,No,Yes,Yes,No,76,7.41
Basic,None,Valet,Super,Yes,No,Yes,Yes,No,80,8.37
Basic,None,Valet,Super,Yes,No,Yes,Yes,No,84,7.77
Basic,None,Valet,Super,Yes,No,Yes,Yes,Yes,76,9.07
Basic,None,Valet,Super,Yes,No,Yes,Yes,Yes,80,5.75
Basic,None,Valet,Super,Yes,No,Yes,Yes,Yes,84,6.7
Basic,None,Valet,Super,Yes,Yes,No,No,No,76,7.71
Basic,None,Valet,Super,Yes,Yes,No,No,No,80,4.17
Basic,None,Valet,Super,Yes,Yes,No,No,No,84,5.78
Basic,None,Valet,Super,Yes,Yes,No,No,Yes,76,4.43
Basic,None,Valet,Super,Yes,Yes,No,No,Yes,80,8.63
Basic,None,Valet,Super,Yes,Yes,No,No,Yes,84,6.79
Basic,None,Valet,Super,Yes,Yes,No,Yes,No,76,7.77
Basic,None,Valet,Super,Yes,Yes,No,Yes,No,80,6.85
Basic,None,Valet,Super,Yes,Yes,No,Yes,No,84,8.41
Basic,None,Valet,Super,Yes,Yes,No,Yes,Yes,76,4.09
Basic,None,Valet,Super,Yes,Yes,No,Yes,Yes,80,6.59
Basic,None,Valet,Super,Yes,Yes,No,Yes,Yes,84,8.56
Basic,None,Valet,Super,Yes,Yes,Yes,No,No,76,5.82
Basic,None,Valet,Super,Yes,Yes,Yes,No,No,80,6.47
Basic,None,Valet,Super,Yes,Yes,Yes,No,No,84,9.5
Basic,None,Valet,Super,Yes,Yes,Yes,No,Yes,76,8.63
Basic,None,Valet,Super,Yes,Yes,Yes,No,Yes,80,7.63
Basic,None,Valet,Super,Yes,Yes,Yes,No,Yes,84,5.21
Basic,None,Valet,Super,Yes,Yes,Yes,Yes,No,76,9.46
Basic,None,Valet,Super,Yes,Yes,Yes,Yes,No,80,5.81
Basic,None,Valet,Super,Yes,Yes,Yes,Yes,No,84,5.81
Basic,None,Valet,Super,Yes,Yes,Yes,Yes,Yes,76,9.02
Basic,None,Valet,Super,Yes,Yes,Yes,Yes,Yes,80,8.9
Basic,None,Valet,Super,Yes,Yes,Yes,Yes,Yes,84,7.25
Basic,None,Open Lot,None,No,No,No,No,No,76,6.06
Basic,None,Open Lot,None,No,No,No,No,No,80,2.87
Basic,None,Open Lot,None,No,No,No,No,No,84,5.72
Basic,None,Open Lot,None,No,No,No,No,Yes,76,6.89
Basic,None,Open Lot,None,No,No,No,No,Yes,80,7.2
Basic,None,Open Lot,None,No,No,No,No,Yes,84,4.42
Basic,None,Open Lot,None,No,No,No,Yes,No,76,4.56
Basic,None,Open Lot,None,No,No,No,Yes,No,80,2.71
Basic,None,Open Lot,None,No,No,No,Yes,No,84,6.13
Basic,None,Open Lot,None,No,No,No,Yes,Yes,76,4.52
Basic,None,Open Lot,None,No,No,No,Yes,Yes,80,2.78
Basic,None,Open Lot,None,No,No,No,Yes,Yes,84,7.37
Basic,None,Open Lot,None,No,No,Yes,No,No,76,5.1
Basic,None,Open Lot,None,No,No,Yes,No,No,80,4.29
Basic,None,Open Lot,None,No,No,Yes,No,No,84,5.65
Basic,None,Open Lot,None,No,No,Yes,No,Yes,76,6.32
Basic,None,Open Lot,None,No,No,Yes,No,Yes,80,5.97
Basic,None,Open Lot,None,No,No,Yes,No,Yes,84,2.34
Basic,None,Open Lot,None,No,No,Yes,Yes,No,76,8.02
